Anchor/Range;Anchor/Range;Anchor/Range;Anchor/Range;Estimated
P1[0.00,0.00,0.00]=2.52;P2[8.00,2.40,0.00]=5.46;P3[13.00,0.00,0.00]=10.55;P8[5.90,10.00,0.00]=8.98;[2.28,1.52,0.01]
P1[0.00,0.00,0.00]=2.53;P2[8.00,2.40,0.00]=5.54;P3[13.00,0.00,0.00]=10.51;P8[5.90,10.00,0.00]=9.20;[2.30,1.47,0.10]
P1[0.00,0.00,0.00]=2.52;P2[8.00,2.40,0.00]=5.57;P3[13.00,0.00,0.00]=10.54;P8[5.90,10.00,0.00]=9.09;[2.31,1.46,0.10]
P1[0.00,0.00,0.00]=2.52;P2[8.00,2.40,0.00]=5.45;P3[13.00,0.00,0.00]=10.54;P8[5.90,10.00,0.00]=9.09;[2.29,1.53,-0.10]
P1[0.00,0.00,0.00]=2.53;P2[8.00,2.40,0.00]=5.54;P3[13.00,0.00,0.00]=10.52;P8[5.90,10.00,0.00]=9.09;[2.29,1.49,0.14]
P1[0.00,0.00,0.00]=2.53;P2[8.00,2.40,0.00]=5.57;P3[13.00,0.00,0.00]=10.49;P8[5.90,10.00,0.00]=9.02;[2.30,1.47,0.30]
P1[0.00,0.00,0.00]=2.55;P2[8.00,2.40,0.00]=5.57;P3[13.00,0.00,0.00]=10.57;P8[5.90,10.00,0.00]=9.16;[2.31,1.44,0.35]
P1[0.00,0.00,0.00]=2.52;P2[8.00,2.40,0.00]=5.58;P3[13.00,0.00,0.00]=10.45;P8[5.90,10.00,0.00]=9.10;[2.32,1.41,0.45]
P1[0.00,0.00,0.00]=2.58;P2[8.00,2.40,0.00]=5.50;P3[13.00,0.00,0.00]=10.52;P8[5.90,10.00,0.00]=9.08;[2.34,1.41,0.39]
P1[0.00,0.00,0.00]=2.57;P2[8.00,2.40,0.00]=5.58;P3[13.00,0.00,0.00]=10.52;P8[5.90,10.00,0.00]=9.04;[2.33,1.42,0.52]
P1[0.00,0.00,0.00]=2.57;P2[8.00,2.40,0.00]=5.53;P3[13.00,0.00,0.00]=10.52;P8[5.90,10.00,0.00]=9.08;[2.34,1.42,0.45]
P1[0.00,0.00,0.00]=2.62;P2[8.00,2.40,0.00]=5.52;P3[13.00,0.00,0.00]=10.60;P8[5.90,10.00,0.00]=9.07;[2.32,1.49,0.17]
P1[0.00,0.00,0.00]=2.54;P2[8.00,2.40,0.00]=5.57;P3[13.00,0.00,0.00]=10.49;P8[5.90,10.00,0.00]=9.08;[2.32,1.46,0.34]
P1[0.00,0.00,0.00]=2.52;P2[8.00,2.40,0.00]=5.60;P3[13.00,0.00,0.00]=10.53;P8[5.90,10.00,0.00]=9.12;[2.32,1.45,0.35]
P1[0.00,0.00,0.00]=2.33;P2[8.00,2.40,0.00]=5.58;P3[13.00,0.00,0.00]=10.58;P8[5.90,10.00,0.00]=9.02;[2.28,1.44,0.49]
P1[0.00,0.00,0.00]=2.46;P2[8.00,2.40,0.00]=5.72;P3[13.00,0.00,0.00]=10.61;P8[5.90,10.00,0.00]=9.10;[2.26,1.43,0.58]
P1[0.00,0.00,0.00]=2.49;P2[8.00,2.40,0.00]=5.77;P3[13.00,0.00,0.00]=10.53;P8[5.90,10.00,0.00]=9.20;[2.28,1.40,0.48]
P1[0.00,0.00,0.00]=2.44;P2[8.00,2.40,0.00]=5.87;P3[13.00,0.00,0.00]=10.50;P8[5.90,10.00,0.00]=9.19;[2.29,1.36,0.56]
P1[0.00,0.00,0.00]=2.40;P2[8.00,2.40,0.00]=6.10;P3[13.00,0.00,0.00]=10.65;P8[5.90,10.00,0.00]=9.27;[2.28,1.34,0.51]
P1[0.00,0.00,0.00]=2.45;P2[8.00,2.40,0.00]=5.87;P3[13.00,0.00,0.00]=10.78;P8[5.90,10.00,0.00]=9.22;[2.23,1.35,0.56]
P1[0.00,0.00,0.00]=2.42;P2[8.00,2.40,0.00]=5.91;P3[13.00,0.00,0.00]=10.71;P8[5.90,10.00,0.00]=9.28;[2.22,1.34,0.58]
P1[0.00,0.00,0.00]=2.51;P2[8.00,2.40,0.00]=5.79;P3[13.00,0.00,0.00]=10.74;P8[5.90,10.00,0.00]=9.34;[2.22,1.33,0.51]
P1[0.00,0.00,0.00]=2.39;P2[8.00,2.40,0.00]=5.81;P3[13.00,0.00,0.00]=10.75;P8[5.90,10.00,0.00]=9.35;[2.20,1.31,0.57]
P1[0.00,0.00,0.00]=2.39;P2[8.00,2.40,0.00]=5.88;P3[13.00,0.00,0.00]=10.74;P8[5.90,10.00,0.00]=9.24;[2.19,1.32,0.55]
P1[0.00,0.00,0.00]=2.44;P2[8.00,2.40,0.00]=5.92;P3[13.00,0.00,0.00]=10.87;P8[5.90,10.00,0.00]=9.20;[2.15,1.35,0.61]
P1[0.00,0.00,0.00]=2.46;P2[8.00,2.40,0.00]=5.86;P3[13.00,0.00,0.00]=10.79;P8[5.90,10.00,0.00]=9.42;[2.16,1.33,0.57]
P1[0.00,0.00,0.00]=2.45;P2[8.00,2.40,0.00]=5.81;P3[13.00,0.00,0.00]=10.85;P8[5.90,10.00,0.00]=9.39;[2.17,1.31,0.47]
P1[0.00,0.00,0.00]=2.37;P2[8.00,2.40,0.00]=5.92;P3[13.00,0.00,0.00]=10.91;P8[5.90,10.00,0.00]=9.37;[2.15,1.32,0.36]
